number,name,status
236,Back to the __future__,Final
242,Numeric Kinds,Rejected
237,Unifying Long Integers and Integers,Final
240,Adding a Rational Literal to Python,Rejected
239,Adding a Rational Type to Python,Rejected
234,Iterators,Final
233,Python Online Help,Deferred
230,Warning Framework,Final
231,__findattr__(),Rejected
232,Function Attributes,Final
229,Using Distutils to Build Python,Final
241,Metadata for Python Software Packages,Superseded
228,Reworking Python’s Numeric Model,Withdrawn
227,Statically Nested Scopes,Final
235,Import on Case-Insensitive Platforms,Final
238,Changing the Division Operator,Final
8104,2023 Term Steering Council election,Active
8103,2022 Term steering council election,Active
8015,Organization of the Python community,Rejected
8100,January 2019 steering council election,Active
8016,The Steering Council Model,Accepted
8101,2020 Term steering council election,Active
8014,The Commons Governance Model,Rejected
8012,The Community Governance Model,Rejected
8002,Open Source Governance Survey,Active
8013,The External Council Governance Model,Rejected
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
8102,2021 Term steering council election,Active
8010,The Technical Leader Governance Model,Rejected
8001,Python Governance Voting Process,Final
3333,Python Web Server Gateway Interface v1.0.1,Final
8000,Python Language Governance Proposal Overview,Active
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
3154,Pickle protocol version 4,Final
3155,Qualified name for classes and functions,Final
3153,Asynchronous IO support,Superseded
3150,Statement local namespaces (aka “given” clause),Deferred
3149,ABI version tagged .so files,Final
3146,Merging Unladen Swallow into CPython,Withdrawn
3147,PYC Repository Directories,Final
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3152,Cofunctions,Rejected
3144,IP Address Manipulation Library for the Python Standard Library,Final
3143,Standard daemon process library,Deferred
3151,Reworking the OS and IO exception hierarchy,Final
3142,Add a “while” clause to generator expressions,Rejected
3148,futures - execute computations asynchronously,Final
3141,A Type Hierarchy for Numbers,Final
3140,"str(container) should call str(item), not repr(item)",Rejected
3139,Cleaning out sys and the “interpreter” module,Rejected
3137,Immutable Bytes and Mutable Buffer,Final
3136,Labeled break and continue,Rejected
3135,New Super,Final
3134,Exception Chaining and Embedded Tracebacks,Final
3133,Introducing Roles,Rejected
3131,Supporting Non-ASCII Identifiers,Final
3132,Extended Iterable Unpacking,Final
3130,Access to Current Module/Class/Function,Rejected
3129,Class Decorators,Final
3128,BList: A Faster List-like Type,Rejected
3138,String representation in Python 3000,Final
3127,Integer Literal Support and Syntax,Final
3126,Remove Implicit String Concatenation,Rejected
3125,Remove Backslash Continuation,Rejected
3123,Making PyObject_HEAD conform to standard C,Final
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
3122,Delineation of the main module,Rejected
3121,Extension Module Initialization and Finalization,Accepted
3120,Using UTF-8 as the default source encoding,Final
3119,Introducing Abstract Base Classes,Final
3118,Revising the buffer protocol,Final
3116,New I/O,Final
3115,Metaclasses in Python 3000,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3117,Postfix type declarations,Rejected
3113,Removal of Tuple Parameter Unpacking,Final
3112,Bytes literals in Python 3000,Final
3111,Simple input built-in in Python 3000,Final
3110,Catching Exceptions in Python 3000,Final
3109,Raising Exceptions in Python 3000,Final
3107,Function Annotations,Final
3108,Standard Library Reorganization,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3105,Make print a function,Final
3104,Access to Names in Outer Scopes,Final
3102,Keyword-Only Arguments,Final
3103,A Switch/Case Statement,Rejected
3101,Advanced String Formatting,Final
3100,Miscellaneous Python 3.0 Plans,Final
3099,Things that will Not Change in Python 3000,Final
3002,Procedure for Backwards-Incompatible Changes,Final
3001,Procedure for reviewing and improving standard library modules,Withdrawn
3000,Python 3000,Final
801,Reserved,Active
3003,Python Language Moratorium,Final
754,IEEE 754 Floating Point Special Values,Rejected
701,Syntactic formalization of f-strings,Draft
699,Remove private dict version field added in PEP 509,Draft
700,Additional Fields for the Simple API for Package Indexes,Accepted
698,Override Decorator for Static Typing,Draft
696,Type defaults for TypeVarLikes,Draft
697,Limited C API for Extending Opaque Types,Draft
695,Type Parameter Syntax,Draft
694,Upload 2.0 API for Python Package Repositories,Draft
693,Python 3.12 Release Schedule,Active
692,Using TypedDict for more precise **kwargs typing,Draft
691,JSON-based Simple API for Python Package Indexes,Accepted
689,Unstable C API tier,Draft
690,Lazy Imports,Rejected
687,Isolating modules in the standard library,Accepted
686,Make UTF-8 mode default,Accepted
688,Making the buffer protocol accessible in Python,Draft
685,Comparison of extra names for optional distribution dependencies,Accepted
684,A Per-Interpreter GIL,Draft
682,Format Specifier for Signed Zero,Final
683,"Immortal Objects, Using a Fixed Refcount",Accepted
681,Data Class Transforms,Accepted
680,tomllib: Support for Parsing TOML in the Standard Library,Accepted
679,Allow parentheses in assert statements,Draft
677,Callable Type Syntax,Rejected
678,Enriching Exceptions with Notes,Accepted
676,PEP Infrastructure Process,Active
675,Arbitrary Literal String Type,Accepted
674,Disallow using macros as l-values,Deferred
673,Self Type,Accepted
672,Unicode-related Security Considerations for Python,Active
671,Syntax for late-bound function argument defaults,Draft
670,Convert macros to functions in the Python C API,Final
667,Consistent views of namespaces,Draft
668,Marking Python base environments as “externally managed”,Accepted
669,Low Impact Monitoring for CPython,Draft
666,Reject Foolish Indentation,Rejected
665,A file format to list Python dependencies for reproducibility of an application,Rejected
664,Python 3.11 Release Schedule,Active
661,Sentinel Values,Draft
663,"Standardizing Enum str(), repr(), and format() behaviors",Rejected
662,Editable installs via virtual wheels,Rejected
660,Editable installs for pyproject.toml based builds (wheel based),Final
659,Specializing Adaptive Interpreter,Draft
658,Serve Distribution Metadata in the Simple Repository API,Accepted
657,Include Fine Grained Error Locations in Tracebacks,Final
656,Platform Tag for Linux Distributions Using Musl,Final
655,Marking individual TypedDict items as required or potentially-missing,Accepted
654,Exception Groups and except*,Accepted
653,Precise Semantics for Pattern Matching,Draft
652,Maintaining the Stable ABI,Final
651,Robust Stack Overflow Handling,Rejected
650,Specifying Installer Requirements for Python Projects,Withdrawn
648,Extensible customizations of the interpreter at startup,Rejected
649,Deferred Evaluation Of Annotations Using Descriptors,Draft
647,User-Defined Type Guards,Accepted
645,Allow writing optional types as x?,Withdrawn
646,Variadic Generics,Accepted
